task_pct,dataset_file,status,feasible,all_checks_ok,assigned_tasks,assigned_trips,unassigned_tasks,active_agents,total_km,transport_work_ton_km,runtime_sec,solver_error
1,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t001_a100.json,error,False,False,,,,,,,,No result in queue
6,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t006_a100.json,error,False,False,,,,,,,,No result in queue
11,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t011_a100.json,error,False,False,,,,,,,,No result in queue
16,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t016_a100.json,error,False,False,,,,,,,,No result in queue
21,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t021_a100.json,error,False,False,,,,,,,,No result in queue
26,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t026_a100.json,error,False,False,,,,,,,,No result in queue
31,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t031_a100.json,error,False,False,,,,,,,,No result in queue
36,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t036_a100.json,error,False,False,,,,,,,,No result in queue
41,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t041_a100.json,error,False,False,,,,,,,,No result in queue
46,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t046_a100.json,error,False,False,,,,,,,,No result in queue
51,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t051_a100.json,error,False,False,,,,,,,,No result in queue
56,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t056_a100.json,error,False,False,,,,,,,,No result in queue
61,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t061_a100.json,error,False,False,,,,,,,,No result in queue
66,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t066_a100.json,error,False,False,,,,,,,,No result in queue
71,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t071_a100.json,error,False,False,,,,,,,,No result in queue
76,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t076_a100.json,error,False,False,,,,,,,,No result in queue
81,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t081_a100.json,error,False,False,,,,,,,,No result in queue
86,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t086_a100.json,error,False,False,,,,,,,,No result in queue
91,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t091_a100.json,error,False,False,,,,,,,,No result in queue
96,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t096_a100.json,error,False,False,,,,,,,,No result in queue
