depot_node,x,y,agents_total,agents_compatible_for_task,depot_to_source_km,source_to_depot_km,depot_to_destination_km,destination_to_depot_km,cycle_km_dep_src_dst_dep
1903257537,30.3638185,59.7950178,92,0,14.7201,14.7201,16.9923,16.9923,46.8891
1533456031,30.3192956,59.8922101,50,0,22.138,22.138,18.5302,18.5302,55.8449
230361,30.3631526,59.9990219,260,0,34.1809,34.1809,26.0634,26.0634,75.421
1746883131,30.0026237,60.0031014,224,0,50.4144,50.4144,42.511,42.511,108.1021
