dataset_tag,target_utilization,algorithm,tasks_total,agents_total,feasible,all_checks_ok,assigned_routes,unassigned_tasks,assignment_coverage_pct,active_agents,transport_work_ton_km,total_km,deadhead_km,deadhead_share_pct,total_hours,runtime_sec,solver_error,dataset_path,checks,time_budget_sec,max_starts,candidate_k,rcl_size,load_penalty,road_factor,trip_share,overload_slack,seed
u50,0.5,real_stochastic_grasp,1587,626,False,False,1078,509,67.927,626,73772.928,67070.218,166.467,0.248,3210.95,5.563,,/Users/igoreshka/Desktop/Optimization-of-flows/src/data/real/day_load_profiles/u50/dataset_real_spb_day_u50.json,"{'hard_constraints_ok': False, 'daily_limits_ok': False, 'reachability_ok': True, 'all_tasks_assigned': False, 'mno_coverage_ok': False, 'all_checks_ok': False}",300,3,24,6,8.0,1.25,0.35,1.02,42
u90,0.9,real_stochastic_grasp,3737,626,False,False,2179,1558,58.309,626,99000.188,77210.506,247.871,0.321,3996.297,5.74,,/Users/igoreshka/Desktop/Optimization-of-flows/src/data/real/day_load_profiles/u90/dataset_real_spb_day_u90.json,"{'hard_constraints_ok': False, 'daily_limits_ok': False, 'reachability_ok': True, 'all_tasks_assigned': False, 'mno_coverage_ok': False, 'all_checks_ok': False}",300,3,24,6,8.0,1.25,0.35,1.02,42
