dataset_tag,target_utilization,algorithm,tasks_total,agents_total,feasible,all_checks_ok,assigned_routes,unassigned_tasks,assignment_coverage_pct,active_agents,transport_work_ton_km,total_km,deadhead_km,deadhead_share_pct,total_hours,runtime_sec,solver_error,dataset_path,checks,time_budget_sec,max_starts,candidate_k,rcl_size,load_penalty,road_factor,trip_share,overload_slack,seed
u50,0.5,real_stochastic_grasp,1587,626,False,False,409,1178,25.772,207,28099.07,19894.183,102.025,0.513,985.486,5.604,,/Users/igoreshka/Desktop/Optimization-of-flows/src/data/real/day_load_profiles/u50/dataset_real_spb_day_u50.json,"{'hard_constraints_ok': False, 'daily_limits_ok': False, 'reachability_ok': True, 'all_tasks_assigned': False, 'mno_coverage_ok': False, 'all_checks_ok': False}",20,3,12,4,8.0,1.25,0.35,1.02,42
u90,0.9,real_stochastic_grasp,3737,626,False,False,931,2806,24.913,229,40442.841,24188.155,138.023,0.571,1332.916,5.794,,/Users/igoreshka/Desktop/Optimization-of-flows/src/data/real/day_load_profiles/u90/dataset_real_spb_day_u90.json,"{'hard_constraints_ok': False, 'daily_limits_ok': False, 'reachability_ok': True, 'all_tasks_assigned': False, 'mno_coverage_ok': False, 'all_checks_ok': False}",20,3,12,4,8.0,1.25,0.35,1.02,42
