dataset_tag,target_utilization,algorithm,tasks_total,agents_total,feasible,all_checks_ok,assigned_routes,unassigned_tasks,assignment_coverage_pct,active_agents,transport_work_ton_km,total_km,deadhead_km,deadhead_share_pct,total_hours,runtime_sec,capacity_scale,solver_error,dataset_path
u50,0.5,real_stochastic_grasp,1587,626,False,False,0,1587,,0,,,,,,1.023,,TypeError: run_real_stochastic_grasp() got an unexpected keyword argument '__capacity_scale',/Users/igoreshka/Desktop/Optimization-of-flows/src/data/real/day_load_profiles/u50/dataset_real_spb_day_u50.json
u90,0.9,real_stochastic_grasp,3737,626,False,False,0,3737,,0,,,,,,0.972,,TypeError: run_real_stochastic_grasp() got an unexpected keyword argument '__capacity_scale',/Users/igoreshka/Desktop/Optimization-of-flows/src/data/real/day_load_profiles/u90/dataset_real_spb_day_u90.json
