dataset_tag,target_utilization,algorithm,tasks_total,agents_total,feasible,all_checks_ok,assigned_routes,unassigned_tasks,assignment_coverage_pct,active_agents,transport_work_ton_km,total_km,deadhead_km,deadhead_share_pct,total_hours,runtime_sec,capacity_scale,solver_error,dataset_path,checks,time_budget_sec,max_starts,candidate_k,rcl_size,load_penalty,road_factor,trip_share,overload_slack,seed
u50,0.5,real_stochastic_grasp,1587,626,True,True,1587,0,100.0,362,101719.664,105746.423,446.067,0.422,5059.076,4.618,10.0,,/Users/igoreshka/Desktop/Optimization-of-flows/src/data/real/day_load_profiles/u50/dataset_real_spb_day_u50.json,"{'hard_constraints_ok': True, 'daily_limits_ok': True, 'reachability_ok': True, 'all_tasks_assigned': True, 'mno_coverage_ok': True, 'all_checks_ok': True}",60,3,48,8,8.0,1.25,0.35,1.02,42
u90,0.9,real_stochastic_grasp,3737,626,True,True,3737,0,100.0,425,183455.056,186180.964,851.12,0.457,9169.847,4.964,10.0,,/Users/igoreshka/Desktop/Optimization-of-flows/src/data/real/day_load_profiles/u90/dataset_real_spb_day_u90.json,"{'hard_constraints_ok': True, 'daily_limits_ok': True, 'reachability_ok': True, 'all_tasks_assigned': True, 'mno_coverage_ok': True, 'all_checks_ok': True}",60,3,48,8,8.0,1.25,0.35,1.02,42
