agent_id,vehicle_type,depot_node,tasks_count,trips_count,mass_tons,pickup_km,unload_km,return_km,total_km,total_hours,km_limit,hour_limit,km_ok,hours_ok,assigned_task_ids
AGENT_00346,VT_C,1903257537,20,1,27.615,12.632,21.147,24.535,58.315,9.651,140.0,10.0,True,True,"['TASK_07364', 'TASK_07342', 'TASK_15109', 'TASK_16367', 'TASK_09385', 'TASK_08892', 'TASK_17800', 'TASK_08766', 'TASK_08634', 'TASK_08628', 'TASK_08632', 'TASK_08868', 'TASK_08870', 'TASK_08872', 'TASK_08878', 'TASK_08887', 'TASK_09433', 'TASK_09461', 'TASK_09463', 'TASK_08867']"
AGENT_00359,VT_C,1903257537,2,1,1.827,11.821,62.285,56.585,130.691,6.641,140.0,10.0,True,True,"['TASK_21845', 'TASK_24036']"
AGENT_00336,VT_AB,1903257537,5,1,3.983,18.147,63.897,56.585,138.63,6.956,140.0,10.0,True,True,"['TASK_14923', 'TASK_18788', 'TASK_27403', 'TASK_24435', 'TASK_06977']"
AGENT_00342,VT_AB,1903257537,8,1,15.936,75.901,31.269,9.063,116.233,6.703,140.0,10.0,True,True,"['TASK_29115', 'TASK_09742', 'TASK_27443', 'TASK_01003', 'TASK_19361', 'TASK_03294', 'TASK_04000', 'TASK_19131']"
AGENT_00386,VT_C,1903257537,10,1,32.366,18.431,6.649,9.063,34.142,5.052,140.0,10.0,True,True,"['TASK_07355', 'TASK_16538', 'TASK_19496', 'TASK_09457', 'TASK_08704', 'TASK_21545', 'TASK_14987', 'TASK_13211', 'TASK_21271', 'TASK_18894']"
AGENT_00285,VT_C,1533456031,21,1,29.114,10.696,18.982,22.494,52.172,9.721,140.0,10.0,True,True,"['TASK_09200', 'TASK_09234', 'TASK_08792', 'TASK_09613', 'TASK_09242', 'TASK_09255', 'TASK_09262', 'TASK_09258', 'TASK_09610', 'TASK_09050', 'TASK_09586', 'TASK_09506', 'TASK_08493', 'TASK_08482', 'TASK_15752', 'TASK_09561', 'TASK_08505', 'TASK_08469', 'TASK_09409', 'TASK_08506', 'TASK_08508']"
AGENT_00081,VT_AB,230361,20,1,17.277,7.245,62.031,61.549,130.824,9.951,140.0,10.0,True,True,"['TASK_22348', 'TASK_18561', 'TASK_04123', 'TASK_04021', 'TASK_04529', 'TASK_16766', 'TASK_11581', 'TASK_04348', 'TASK_04347', 'TASK_04138', 'TASK_04346', 'TASK_18595', 'TASK_03406', 'TASK_03343', 'TASK_03347', 'TASK_17412', 'TASK_03555', 'TASK_03087', 'TASK_19433', 'TASK_25918']"
AGENT_00082,VT_AB,230361,25,2,29.959,22.84,35.986,33.702,92.527,9.555,140.0,10.0,True,True,"['TASK_04499', 'TASK_27913', 'TASK_04289', 'TASK_02668', 'TASK_17252', 'TASK_29254', 'TASK_02342', 'TASK_02379', 'TASK_02434', 'TASK_15681', 'TASK_02932', 'TASK_02386', 'TASK_02426', 'TASK_09664', 'TASK_02577', 'TASK_02575', 'TASK_02574', 'TASK_20097', 'TASK_22815', 'TASK_04030', 'TASK_25735', 'TASK_03910', 'TASK_23150', 'TASK_17410', 'TASK_20648']"
AGENT_00118,VT_AB,230361,19,1,17.672,9.223,58.332,61.549,129.104,9.759,140.0,10.0,True,True,"['TASK_04295', 'TASK_04435', 'TASK_04109', 'TASK_04298', 'TASK_04300', 'TASK_04436', 'TASK_04395', 'TASK_04301', 'TASK_04219', 'TASK_03863', 'TASK_04441', 'TASK_04433', 'TASK_18484', 'TASK_04226', 'TASK_23845', 'TASK_10001', 'TASK_02546', 'TASK_02712', 'TASK_02707']"
AGENT_00197,VT_C,230361,16,1,21.534,17.345,38.894,33.702,89.941,9.688,140.0,10.0,True,True,"['TASK_02262', 'TASK_02973', 'TASK_02666', 'TASK_14386', 'TASK_02594', 'TASK_02722', 'TASK_02786', 'TASK_02266', 'TASK_02449', 'TASK_26892', 'TASK_20868', 'TASK_04515', 'TASK_09700', 'TASK_04065', 'TASK_04446', 'TASK_11691']"
