agent_id,vehicle_type,depot_node,tasks_count,trips_count,mass_tons,pickup_km,unload_km,return_km,total_km,total_hours,km_limit,hour_limit,km_ok,hours_ok,assigned_task_ids
AGENT_00346,VT_C,1903257537,20,2,31.116,14.233,24.005,24.535,62.773,9.853,140.0,10.0,True,True,"['TASK_07364', 'TASK_07405', 'TASK_07342', 'TASK_15109', 'TASK_16367', 'TASK_07465', 'TASK_09385', 'TASK_08774', 'TASK_09862', 'TASK_08777', 'TASK_08899', 'TASK_17800', 'TASK_08892', 'TASK_08766', 'TASK_08634', 'TASK_08632', 'TASK_28009', 'TASK_14967', 'TASK_21976', 'TASK_21977']"
AGENT_00359,VT_C,1903257537,16,1,47.258,25.905,9.45,9.063,44.417,7.619,140.0,10.0,True,True,"['TASK_07461', 'TASK_07357', 'TASK_07355', 'TASK_16538', 'TASK_19496', 'TASK_09457', 'TASK_13271', 'TASK_08704', 'TASK_21545', 'TASK_09527', 'TASK_14987', 'TASK_13211', 'TASK_14953', 'TASK_21271', 'TASK_18894', 'TASK_12994']"
AGENT_00336,VT_AB,1903257537,34,3,9.496,19.193,19.721,16.992,55.906,9.829,140.0,10.0,True,True,"['TASK_27271', 'TASK_21216', 'TASK_26382', 'TASK_13908', 'TASK_07411', 'TASK_22971', 'TASK_07397', 'TASK_07402', 'TASK_07395', 'TASK_07418', 'TASK_07375', 'TASK_07381', 'TASK_07400', 'TASK_27641', 'TASK_07462', 'TASK_23172', 'TASK_22936', 'TASK_10682', 'TASK_10678', 'TASK_22361', 'TASK_20306', 'TASK_16077', 'TASK_25122', 'TASK_24969', 'TASK_25074', 'TASK_07324', 'TASK_16319', 'TASK_20703', 'TASK_15779', 'TASK_23148', 'TASK_23149', 'TASK_26028', 'TASK_21883', 'TASK_22935']"
AGENT_00342,VT_AB,1903257537,34,3,11.195,15.053,28.899,9.742,53.694,9.817,140.0,10.0,True,True,"['TASK_20418', 'TASK_29215', 'TASK_15217', 'TASK_15218', 'TASK_07221', 'TASK_17026', 'TASK_26704', 'TASK_24892', 'TASK_26371', 'TASK_20663', 'TASK_07442', 'TASK_07347', 'TASK_07439', 'TASK_16721', 'TASK_23126', 'TASK_20180', 'TASK_19363', 'TASK_22953', 'TASK_04783', 'TASK_04800', 'TASK_22327', 'TASK_05791', 'TASK_24609', 'TASK_05768', 'TASK_05738', 'TASK_05322', 'TASK_05809', 'TASK_05412', 'TASK_05624', 'TASK_22063', 'TASK_05639', 'TASK_05637', 'TASK_25151', 'TASK_27157']"
AGENT_00386,VT_C,1903257537,20,2,31.485,35.817,12.689,11.93,60.436,9.747,140.0,10.0,True,True,"['TASK_07413', 'TASK_21436', 'TASK_22667', 'TASK_08654', 'TASK_08649', 'TASK_12577', 'TASK_08702', 'TASK_09487', 'TASK_09502', 'TASK_09494', 'TASK_09497', 'TASK_17279', 'TASK_11962', 'TASK_09290', 'TASK_09612', 'TASK_09087', 'TASK_21368', 'TASK_16502', 'TASK_21521', 'TASK_01831']"
AGENT_00285,VT_C,1533456031,16,1,21.307,6.85,20.206,22.494,49.549,7.852,140.0,10.0,True,True,"['TASK_09200', 'TASK_09234', 'TASK_09224', 'TASK_09613', 'TASK_08792', 'TASK_09242', 'TASK_08480', 'TASK_08493', 'TASK_09506', 'TASK_09586', 'TASK_09050', 'TASK_09610', 'TASK_09262', 'TASK_09258', 'TASK_09255', 'TASK_08505']"
AGENT_00081,VT_AB,230361,32,2,5.019,2.351,8.46,7.671,18.482,7.83,140.0,10.0,True,True,"['TASK_11225', 'TASK_03877', 'TASK_16240', 'TASK_14093', 'TASK_03027', 'TASK_17672', 'TASK_02688', 'TASK_04302', 'TASK_11213', 'TASK_26912', 'TASK_11206', 'TASK_11205', 'TASK_04296', 'TASK_11204', 'TASK_11208', 'TASK_18809', 'TASK_22071', 'TASK_27148', 'TASK_19331', 'TASK_14224', 'TASK_26253', 'TASK_28253', 'TASK_28763', 'TASK_24976', 'TASK_28258', 'TASK_22934', 'TASK_16252', 'TASK_21427', 'TASK_16739', 'TASK_21313', 'TASK_26426', 'TASK_25301']"
AGENT_00082,VT_AB,230361,31,2,7.412,13.928,31.541,24.326,69.795,9.788,140.0,10.0,True,True,"['TASK_15399', 'TASK_14489', 'TASK_23403', 'TASK_24352', 'TASK_11287', 'TASK_25467', 'TASK_25001', 'TASK_11280', 'TASK_18567', 'TASK_03882', 'TASK_11131', 'TASK_25879', 'TASK_04061', 'TASK_11180', 'TASK_02686', 'TASK_02630', 'TASK_26797', 'TASK_17334', 'TASK_05270', 'TASK_09817', 'TASK_17133', 'TASK_20486', 'TASK_22576', 'TASK_21219', 'TASK_12083', 'TASK_04596', 'TASK_04592', 'TASK_24348', 'TASK_04697', 'TASK_05706', 'TASK_25233']"
AGENT_00118,VT_AB,230361,32,2,6.278,7.498,24.444,21.872,53.814,9.362,140.0,10.0,True,True,"['TASK_04390', 'TASK_21640', 'TASK_25651', 'TASK_28374', 'TASK_04467', 'TASK_04019', 'TASK_11732', 'TASK_15446', 'TASK_17847', 'TASK_03907', 'TASK_04110', 'TASK_22460', 'TASK_11127', 'TASK_11154', 'TASK_16776', 'TASK_04217', 'TASK_21438', 'TASK_20339', 'TASK_16534', 'TASK_25305', 'TASK_16202', 'TASK_22535', 'TASK_16536', 'TASK_18551', 'TASK_29273', 'TASK_16535', 'TASK_28168', 'TASK_29090', 'TASK_25163', 'TASK_23448', 'TASK_22952', 'TASK_09496']"
AGENT_00197,VT_C,230361,16,1,21.534,17.345,38.894,33.702,89.941,9.688,140.0,10.0,True,True,"['TASK_02262', 'TASK_02973', 'TASK_02666', 'TASK_14386', 'TASK_02594', 'TASK_02722', 'TASK_02786', 'TASK_02266', 'TASK_02449', 'TASK_26892', 'TASK_20868', 'TASK_04515', 'TASK_09700', 'TASK_04065', 'TASK_04446', 'TASK_11691']"
