agent_id,vehicle_type,depot_node,tasks_count,trips_count,mass_tons,pickup_km,unload_km,return_km,total_km,total_hours,km_limit,hour_limit,km_ok,hours_ok,assigned_task_ids
AGENT_00346,VT_C,1903257537,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00359,VT_C,1903257537,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00336,VT_AB,1903257537,5,1,5.208,18.057,62.694,56.585,137.336,6.922,140.0,10.0,True,True,"['TASK_14923', 'TASK_04601', 'TASK_17974', 'TASK_04610', 'TASK_04924']"
AGENT_00342,VT_AB,1903257537,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00386,VT_C,1903257537,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00285,VT_C,1533456031,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00081,VT_AB,230361,18,1,17.81,14.125,61.15,61.549,136.824,9.921,140.0,10.0,True,True,"['TASK_04435', 'TASK_04109', 'TASK_04298', 'TASK_18648', 'TASK_04529', 'TASK_04346', 'TASK_04347', 'TASK_28440', 'TASK_03406', 'TASK_03555', 'TASK_03556', 'TASK_03344', 'TASK_03399', 'TASK_03377', 'TASK_03617', 'TASK_11178', 'TASK_03798', 'TASK_03594']"
AGENT_00082,VT_AB,230361,18,1,18.358,10.434,61.997,61.549,133.979,9.842,140.0,10.0,True,True,"['TASK_02907', 'TASK_18050', 'TASK_02358', 'TASK_02934', 'TASK_02933', 'TASK_09747', 'TASK_02794', 'TASK_02796', 'TASK_02407', 'TASK_02409', 'TASK_02721', 'TASK_02720', 'TASK_02417', 'TASK_02419', 'TASK_02440', 'TASK_02892', 'TASK_02914', 'TASK_02595']"
AGENT_00118,VT_AB,230361,18,1,17.503,9.53,61.531,61.549,132.611,9.805,140.0,10.0,True,True,"['TASK_04131', 'TASK_04479', 'TASK_04029', 'TASK_04077', 'TASK_04074', 'TASK_04073', 'TASK_15453', 'TASK_21541', 'TASK_14569', 'TASK_17225', 'TASK_04481', 'TASK_19237', 'TASK_03917', 'TASK_19859', 'TASK_19053', 'TASK_19860', 'TASK_03345', 'TASK_03770']"
AGENT_00197,VT_C,230361,10,1,9.636,10.831,66.098,61.549,138.478,9.794,140.0,10.0,True,True,"['TASK_22206', 'TASK_14891', 'TASK_02263', 'TASK_02940', 'TASK_14934', 'TASK_19501', 'TASK_02541', 'TASK_21317', 'TASK_28376', 'TASK_18740']"
AGENT_00051,VT_AB,230361,8,1,9.103,15.822,62.494,59.834,138.15,7.556,140.0,10.0,True,True,"['TASK_04216', 'TASK_02646', 'TASK_02647', 'TASK_02572', 'TASK_02533', 'TASK_02950', 'TASK_02949', 'TASK_02288']"
AGENT_00124,VT_AB,230361,19,1,18.389,8.736,66.169,61.549,136.455,9.986,140.0,10.0,True,True,"['TASK_02576', 'TASK_02566', 'TASK_02562', 'TASK_02939', 'TASK_02584', 'TASK_02529', 'TASK_14073', 'TASK_02580', 'TASK_16242', 'TASK_02524', 'TASK_03023', 'TASK_02698', 'TASK_02962', 'TASK_02955', 'TASK_02475', 'TASK_11162', 'TASK_02530', 'TASK_02526', 'TASK_02537']"
AGENT_00290,VT_C,1533456031,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00333,VT_AB,1903257537,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00370,VT_C,1903257537,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00030,VT_A,230361,3,1,21.824,33.475,10.519,7.671,51.665,2.813,130.0,10.0,True,True,"['TASK_22157', 'TASK_01296', 'TASK_18896']"
AGENT_00288,VT_C,1533456031,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00061,VT_AB,230361,18,1,16.812,8.983,66.211,61.549,136.743,9.778,140.0,10.0,True,True,"['TASK_20103', 'TASK_04118', 'TASK_20064', 'TASK_18832', 'TASK_02522', 'TASK_21960', 'TASK_14671', 'TASK_14667', 'TASK_14669', 'TASK_14901', 'TASK_14387', 'TASK_14395', 'TASK_02345', 'TASK_14892', 'TASK_02516', 'TASK_02504', 'TASK_02506', 'TASK_03018']"
AGENT_00281,VT_C,1533456031,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00357,VT_C,1903257537,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00284,VT_C,1533456031,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
